listing_id,source_site,url,title,captured_at,building_name,locality,city,address,property_type,bhk,bathrooms,area,area_basis,floor,furnishing,property_age,parking,amenities,rent,deposit,maintenance,maintenance_included,brokerage,move_in_charges,available_from,tenant_preference,posted_by,contact_name,contact_phone,notes,calc_price_per_sqft,calc_true_monthly_cost,calc_cost_basis
P90503832,99acres,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-neeladri-nagar-bangalore-south-1200-sqft-r1-spid-P90503832,"1 BHK Flat for rent in Neeladri Nagar, Bangalore",2026-06-18T04:10:00+05:30,"RS Housing, Electronic City, Banglore",Neeladri Nagar,Bangalore,,apartment,1,1,1200,built-up,,full,,,,18000,40000,,,,,,All,owner,,,,15.00,18200.00,lower-bound
Y91659522,99acres,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-kadugodi-bangalore-east-680-sqft-spid-Y91659522,"1 BHK Flat for rent in Kadugodi, Bangalore",2026-06-18T04:10:00+05:30,on reqwest kadugodi,Kadugodi,Bangalore,,apartment,1,1,680,carpet,,full,,,,21000,100000,,,,,,All,dealer,,,,30.88,21500.00,lower-bound
G88037698,99acres,https://www.99acres.com/1-bhk-bedroom-independent-builder-floor-for-rent-in-manjunatha-layout-munnekollal-bangalore-east-550-sqft-r2-spid-G88037698,"1 BHK Builder Floor for rent in Manjunatha Layout Munnekollal, Old Airport Road",2026-06-18T04:10:00+05:30,"Manjunatha Layout Munnekollal, Old Airport Road, Bangalore East",Manjunatha Layout Munnekollal,Bangalore,,builder floor,1,1,550,super,,full,,,,20000,60000,,,,,,All,builder,,,deposit = 3 months rent (computed 60000),36.36,20300.00,lower-bound
M66274392,99acres,https://www.99acres.com/1-bhk-bedroom-independent-builder-floor-for-rent-in-sanjayanagara-bangalore-north-500-sqft-r3-spid-M66274392,"1 BHK Builder Floor for rent in Sanjayanagara, Bellari Road",2026-06-18T04:10:00+05:30,"Sanjayanagara, Bellari Road, Bangalore North",Sanjayanagara,Bangalore,,builder floor,1,1,500,built-up,,full,,,,14000,90000,,,,,,,builder,,,,28.00,14450.00,lower-bound
O91972682,99acres,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-khb-apartment-yelahanka-bangalore-north-500-sqft-spid-O91972682,"1 BHK Flat for rent in Yelahanka, Bangalore",2026-06-18T04:10:00+05:30,Khb Apartment,Yelahanka,Bangalore,,apartment,1,1,500,carpet,,full,,,,22000,88000,,,,,,,owner,,,deposit = 4 months rent (computed 88000),44.00,22440.00,lower-bound
K91972648,99acres,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-rent-in-nagasandra-bangalore-west-500-sqft-spid-K91972648,"1 Bedroom House for rent in Nagasandra, Bangalore",2026-06-18T04:10:00+05:30,"Nagasandra, Bangalore, Bangalore West",Nagasandra,Bangalore,,independent house,1,1,1500,plot,,full,,,,15000,40000,,,,,,,owner,,,"area is Plot Area (land), not living area — ppsf understated",10.00,15200.00,lower-bound
J91915576,99acres,https://www.99acres.com/1-bhk-bedroom-serviced-apartment-flat-for-rent-in-varthur-bangalore-east-500-sqft-spid-J91915576,"1 BHK Serviced Apartment for rent in Varthur, Bangalore",2026-06-18T04:10:00+05:30,sri vinayaka residential layout,Varthur,Bangalore,,serviced apartment,1,1,500,carpet,,full,,,,19000,38000,,,,,,,owner,,,deposit = 2 months rent (computed 38000),38.00,19190.00,lower-bound
P91966246,99acres,https://www.99acres.com/studio-apartment-flat-for-rent-in-bheemanna-garden-bangalore-south-250-sqft-spid-P91966246,"Studio Apartments / 1 RK Flats for rent in Bheemanna Garden, Shanti Nagar, Bangalore",2026-06-18T04:10:00+05:30,Tambre residence,Bheemanna Garden,Bangalore,,studio (1 RK),1,1,250,carpet,,full,,,,14000,56000,,,,,,,owner,,,1 RK studio (99acres bundled 1RK/1BHK filter) — not a true 1 BHK; deposit = 4 months rent (computed 56000),56.00,14280.00,lower-bound
O91951244,99acres,https://www.99acres.com/studio-apartment-flat-for-rent-in-nelamangala-bangalore-west-600-sqft-spid-O91951244,"Studio Apartments / 1 RK Flats for rent in Nelamangala, Bangalore",2026-06-18T04:10:00+05:30,new house,Nelamangala,Bangalore,,studio (1 RK),1,1,600,built-up,,full,,,,12000,120000,,,,,,,owner,,,1 RK studio (99acres bundled 1RK/1BHK filter) — not a true 1 BHK,20.00,12600.00,lower-bound
G91949934,99acres,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-rent-in-hunnigere-bangalore-west-1500-sqft-spid-G91949934,"1 Bedroom House for rent in Hunnigere, Nelamangala",2026-06-18T04:10:00+05:30,"Hunnigere, Nelamangala, Bangalore West",Hunnigere,Bangalore,,independent house,1,1,1500,plot,,full,,,,15000,150000,,,,,,,owner,,,"area is Plot Area (land), not living area — ppsf understated",10.00,15750.00,lower-bound
