listing_id,source_site,url,title,captured_at,building_name,locality,city,address,property_type,bhk,bathrooms,area,area_basis,floor,furnishing,property_age,parking,amenities,rent,deposit,maintenance,maintenance_included,brokerage,move_in_charges,available_from,tenant_preference,posted_by,contact_name,contact_phone,notes,calc_price_per_sqft,calc_true_monthly_cost,calc_cost_basis
5931635,housing,https://housing.com/rent/5931635-450-sqft-1-bhk-independent-house-on-rent-in-gunjur-palya-bengaluru-v2,1 BHK Fully Furnished Independent House,2026-06-18,,"Gunjur Palya, Bengaluru",Bengaluru,"Green bulding, Gunjur Palya, Bangalore East, Bengaluru",independent house,1,1,450,built-up,,full,0 year,No Parking,,12000,20000,500,false,0,,,Bachelor,owner,Gnanesh,,carpet area 400 sq.ft; floor & per-listing lease set not in list data; phone login-walled,26.67,12600,lower-bound
5978897,housing,https://housing.com/rent/5978897-500-sqft-1-bhk-apartment-on-rent-in-whitefield-bengaluru-v2,1 BHK Fully Furnished Flat,2026-06-18,,"Nallurhalli, Whitefield",Bengaluru,"Nallurhalli, Whitefield, Bangalore East, Bengaluru",apartment,1,1,500,built-up,,full,0 year,No Parking,Lift; Power Backup; Water Supply,21000,60000,0,,0,21000,,Bachelor,owner,Sree Ram Homes,,floor & per-listing lease set not in list data; phone login-walled,42,23050,full
6887183,housing,https://housing.com/rent/6887183-675-sqft-1-bhk-apartment-on-rent-in-bommanahalli-bengaluru-v2,1 BHK Fully Furnished Flat,2026-06-18,,"Bommanahalli, Bengaluru",Bengaluru,"Ittina Sarva 1, Bommanahalli, South Bangalore, Bengaluru",apartment,1,1,675,built-up,,full,12 years,No Parking,Power Backup; Pet Allowed; Garden; Sports Facility; Kids Area; Gated Community; Water Supply; Gas Pipeline,16000,75000,1500,false,0,,,Bachelor,owner,Priya,,carpet area 600 sq.ft; floor & per-listing lease set not in list data; phone login-walled,23.7,17875,lower-bound
7894103,housing,https://housing.com/rent/7894103-500-sqft-1-bhk-independent-house-on-rent-in-malleswaram-bengaluru-v3,1 BHK Fully Furnished Independent House,2026-06-18,,"Malleswaram, Bengaluru",Bengaluru,"Malleswaram, Central Bangalore, Bengaluru",independent house,1,1,500,built-up,,full,20 years,No Parking,,13500,150000,500,false,0,,,Bachelor,owner,S Eshwar Rao,,floor & per-listing lease set not in list data; phone login-walled,27,14750,lower-bound
8095589,housing,https://housing.com/rent/8095589-1000-sqft-1-bhk-independent-floor-on-rent-in-frazer-town-bengaluru-v2,1 BHK Fully Furnished Independent Builder Floor,2026-06-18,,"Cleveland Town, Frazer Town",Bengaluru,"No 10 G Street Coles Road, Cleveland Town, Frazer Town, Robertson Road, Bengaluru",independent floor,1,1,1000,built-up,,full,12 years,"1 open, 1 closed",Parking; Pet Allowed; Water Supply,13000,100000,0,,0,,,Bachelor,owner,Ramashree,,carpet area 1000 sq.ft; floor & per-listing lease set not in list data; phone login-walled,13,13500,lower-bound
8725873,housing,https://housing.com/rent/8725873-600-sqft-1-bhk-apartment-on-rent-in-sadduguntepalya-bengaluru-v2,1 BHK Fully Furnished Flat,2026-06-18,,"Stage 1, S.G. Palya",Bengaluru,"Appatement swarj rooad Full furnished, Stage 1, S.G. Palya, South Bangalore, Bengaluru",apartment,1,1,600,built-up,,full,2 years,"1 open, 0 closed",Lift; Parking; Power Backup; Pet Allowed; Gated Community; Water Supply,18000,35000,500,false,18000,,,Bachelor,broker,SHIVA SHAKTHI REAL ESTATE AGENCY,,carpet area 550 sq.ft; floor & per-listing lease set not in list data; phone login-walled,30,20175,lower-bound
10905182,housing,https://housing.com/rent/10905182-750-sqft-1-bhk-apartment-on-rent-in-sadduguntepalya-bengaluru-v2,1 BHK Fully Furnished Flat,2026-06-18,,"Brindavan Nagar, S.G. Palya",Bengaluru,"Brindavan Nagar, S.G. Palya, South Bangalore, Bengaluru",apartment,1,1,750,built-up,,full,0 year,"1 open, 0 closed",Lift; Parking; Power Backup; Water Supply,22000,25000,1000,false,22000,,,Bachelor,broker,Shri Lakshmi Venkateswara real estate,,floor & per-listing lease set not in list data; phone login-walled,29.33,24958.33,lower-bound
12701782,housing,https://housing.com/rent/12701782-600-sqft-1-bhk-independent-floor-on-rent-in-guddahatti-bengaluru-v2,1 BHK Fully Furnished Independent Builder Floor,2026-06-18,,"Guddahatti, Bengaluru",Bengaluru,"Elshaddai, Guddahatti, Bengaluru",independent floor,1,1,600,built-up,,full,null year,No Parking,,16000,60000,0,,0,,,Bachelor,owner,Nanita,,floor & per-listing lease set not in list data; phone login-walled,26.67,16300,lower-bound
12752861,housing,https://housing.com/rent/12752861-150-sqft-1-rk-independent-floor-on-rent-in-ulsoor-bengaluru-v2,1 RK Fully Furnished Independent Builder Floor,2026-06-18,,"Corporation Colony, Halasuru",Bengaluru,"Corporation Colony, Halasuru, Central Bangalore, Bengaluru",independent floor,1 RK,1,150,built-up,,full,null year,No Parking,,15000,35000,0,,0,,,Bachelor,owner,8310******,,1 RK studio (no separate bedroom); floor & per-listing lease set not in list data; phone login-walled,100,15175,lower-bound
13506564,housing,https://housing.com/rent/13506564-300-sqft-1-bhk-apartment-on-rent-in-adugodi-bengaluru-v3,1 BHK Fully Furnished Flat,2026-06-18,,"AK Colony, Adugodi",Bengaluru,"AK Colony, Adugodi, Central Bangalore, Bengaluru",apartment,1,1,300,built-up,,full,null year,No Parking,,18000,50000,0,,0,,,Bachelor,owner,Shakthi M,,floor & per-listing lease set not in list data; phone login-walled,60,18250,lower-bound
