listing_id,source_site,url,title,captured_at,building_name,locality,city,address,property_type,bhk,bathrooms,area,area_basis,floor,furnishing,property_age,parking,amenities,rent,deposit,maintenance,maintenance_included,brokerage,move_in_charges,available_from,tenant_preference,posted_by,contact_name,contact_phone,notes,calc_price_per_sqft,calc_true_monthly_cost,calc_cost_basis
8a9f92d673cd3a7b0173cda4bcc834dd,nobroker,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-wilson-garden-bangalore-for-rs-20000/8a9f92d673cd3a7b0173cda4bcc834dd/detail,1 BHK Flat In Srinivasa Nilaya for Rent In Wilson Garden,2026-06-18T18:27:14+05:30,Srinivasa Nilaya,Wilson Garden,Bangalore,"Lakkasandra Extension, near Akkayamma Devi Temple, Wilson Garden, bangalore",Apartment,1,1,500,built-up,3 of 3,full,Newly Constructed,Bike,Rain water harvesting; House keeping; Sewage treatment plant; Power backup; Security; Visitor parking; Servant room; Water Supply: Corporation & Borewell,20000,50000,500,false,0,,2026-06-30,Anyone,owner,,,via BTM Layout search; listed locality Wilson Garden,40.0,20750.0,lower-bound
8aa9b6a39e256ff5019e261191674f85,nobroker,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-btm-layout-bangalore-for-rs-20000/8aa9b6a39e256ff5019e261191674f85/detail,1 BHK Flat In Gallery Garden Apartmen for Rent In Btm Layout,2026-06-18T18:27:14+05:30,Gallery Garden Apartmen,BTM Layout,Bangalore,"maaruthi nagar ,Btm 1st stage, BTM Layout, bangalore",Apartment,1,1,400,built-up,4 of 5,full,Newly Constructed,Bike,Internet; Lift; Water Supply: Corporation,20000,45000,,true,0,,2026-07-19,Anyone,owner,,,via BTM Layout search; listed locality BTM Layout,50.0,20225.0,lower-bound
8aa98dc79b789520019b792cd3853255,nobroker,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-btm-1st-stage-bangalore-for-rs-20000/8aa98dc79b789520019b792cd3853255/detail,1 BHK Flat In Felix 64 for Rent In Btm 1st Stage,2026-06-18T18:27:14+05:30,Felix 64,BTM 1st Stage,Bangalore,", Narayanappa Garden, 1st Stage, near Likhith Fashions, BTM 1st Stage, bangalore",Apartment,1,1,450,built-up,5 of 6,full,5-10 Years,Bike,Security,20000,40000,500,false,0,,2026-06-01,Anyone,owner,,,possession 2026-06-01 in past — effectively available now; via BTM Layout search; listed locality BTM 1st Stage,44.44,20700.0,lower-bound
8a9f8e8498e0e6b20198e12697041992,nobroker,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-madiwala-bangalore-for-rs-20000/8a9f8e8498e0e6b20198e12697041992/detail,1 BHK Flat In Vasantha Homes for Rent In Madiwala,2026-06-18T18:27:14+05:30,Vasantha Homes,Madiwala,Bangalore,"behind Castle Restaurant, 1st Cross Road, Zuzuvadi, Madiwala, 1st Stage, BTM Layout, Madiwala, bangalore",Apartment,1,1,450,built-up,Ground of 5,full,Newly Constructed,Bike,Security; Water Supply: Corporation & Borewell,20000,45000,,true,0,,2026-05-24,Anyone,owner,,,possession 2026-05-24 in past — effectively available now; via BTM Layout search; listed locality Madiwala,44.44,20225.0,lower-bound
8a9faf827b5dde51017b5e2064001c3d,nobroker,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-btm-layout-bangalore-for-rs-16000/8a9faf827b5dde51017b5e2064001c3d/detail,1 BHK Flat In Standalone Building for Rent In Btm Layout,2026-06-18T18:27:14+05:30,,BTM Layout,Bangalore,"1113, 8th Main Rd, KEB Colony, New Gurappana Palya, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560029, India, BTM Layout, bangalore",Apartment,1,1,451,built-up,1 of 3,full,10+ Years,Bike,Water Supply: Corporation & Borewell,16000,60000,1500,false,0,,2026-06-15,Anyone,owner,,,standalone/unnamed building (building_name blank); possession 2026-06-15 in past — effectively available now; via BTM Layout search; listed locality BTM Layout,35.48,17800.0,lower-bound
ff8081816aa26aa0016aa566083b6ba6,nobroker,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-jakkasandra-bangalore-for-rs-14000/ff8081816aa26aa0016aa566083b6ba6/detail,1 BHK Flat In Standalone Building for Rent In Jakkasandra,2026-06-18T18:27:14+05:30,,Jakkasandra,Bangalore,"Sarjapur Rd near Academy of Pastry & Culinary Arts, Bangalore - School For Baking & Culinary Arts, Jakkasandra, bangalore",Apartment,1,1,500,built-up,3 of 4,full,1-3 Years,Bike,Water Supply: Borewell,14000,50000,,true,0,,2026-06-15,Anyone,owner,,,standalone/unnamed building (building_name blank); possession 2026-06-15 in past — effectively available now; via Koramangala search; listed locality Jakkasandra,28.0,14250.0,lower-bound
8a9ff58287a722b40187a797cdd247df,nobroker,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-koramangala-bangalore-for-rs-20000/8a9ff58287a722b40187a797cdd247df/detail,1 BHK Flat for Rent In Koramangala,2026-06-18T18:27:14+05:30,,Koramangala,Bangalore,"Standalone building, 8th Block near Regional Passport Office, Koramangala, bangalore",Apartment,1,1,600,built-up,3 of 4,full,3-5 Years,Bike,Gas pipeline; Sewage treatment plant; Servant room; Water Supply: Corporation & Borewell,20000,60000,1000,false,0,,2026-07-01,Anyone,owner,,,standalone/unnamed building (building_name blank); via Koramangala search; listed locality Koramangala,33.33,21300.0,lower-bound
8a9f87438f4bdbd4018f4c3d03e5214b,nobroker,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-22000/8a9f87438f4bdbd4018f4c3d03e5214b/detail,1 BHK House for Rent In Hsr Layout,2026-06-18T18:27:14+05:30,,HSR LAYOUT,Bangalore,"Independent House, hsr layout sector 7 near star market, HSR LAYOUT, bangalore",Independent House,1,1,900,built-up,2 of 2,full,10+ Years,Bike and Car,Air Conditioner; Rain water harvesting; House keeping; Internet; Lift; Fire safety; Sewage treatment plant; Park; Shopping center; Power backup; Children's play area; Visitor parking; Servant room; Water Supply: Corporation,22000,80000,,true,0,,2026-06-17,Bachelors,owner,,,standalone/unnamed building (building_name blank); possession 2026-06-17 in past — effectively available now; via HSR Layout search; listed locality HSR LAYOUT,24.44,22400.0,lower-bound
8aa98b2d9e8ae57f019e8c486fec7308,nobroker,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-bommanahalli-bangalore-for-rs-15000/8aa98b2d9e8ae57f019e8c486fec7308/detail,1 BHK House for Rent In Bommanahalli,2026-06-18T18:27:14+05:30,,Bommanahalli,Bangalore,"Independent House, Near Shas Bakery and Vivek wash Tech, Rajiv Gandhi Nagar HSR layout 7th Sector near New Padmavathi Royal Homes Ladies PG, Bommanahalli, bangalore",Independent House,1,1,500,built-up,1 of 1,full,Newly Constructed,Bike,,15000,500000,,true,0,,2026-06-03,Anyone,owner,,,standalone/unnamed building (building_name blank); deposit Rs500000 unusually high vs rent — possible data error (enters cost only as opportunity cost); possession 2026-06-03 in past — effectively available now; via HSR Layout search; listed locality Bommanahalli,30.0,17500.0,lower-bound
8aa9a52c9ec50c49019ec67c37f33cd6,nobroker,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-marathahalli-bangalore-for-rs-20000/8aa9a52c9ec50c49019ec67c37f33cd6/detail,1 BHK Flat for Rent In Marathahalli,2026-06-18T18:27:14+05:30,,Marathahalli,Bangalore,"Standalone Building, Outer Ring Rd NEAR Karnataka Bank - Marathahalli Branch, Marathahalli, bangalore",Apartment,1,1,550,built-up,1 of 4,full,1-3 Years,Bike,,20000,50000,,true,0,,2026-06-14,Anyone,owner,,,standalone/unnamed building (building_name blank); possession 2026-06-14 in past — effectively available now; via Marathahalli search; listed locality Marathahalli,36.36,20250.0,lower-bound
8a9fb9827afca976017afcd71334109c,nobroker,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-16000/8a9fb9827afca976017afcd71334109c/detail,1 BHK Flat In Prathibha Nilaya for Rent In Whitefield,2026-06-18T18:27:14+05:30,Prathibha Nilaya,Whitefield,Bangalore,"5th Cross Muthoot Finance Road Opposite HLRC WhiteField Main Road WhiteField , Whitefield, bangalore",Apartment,1,1,450,built-up,1 of 4,full,3-5 Years,Bike,Rain water harvesting; Gas pipeline; Power backup; Security; Water Supply: Corporation & Borewell,16000,60000,200,false,0,,2026-06-09,Anyone,owner,,,possession 2026-06-09 in past — effectively available now; via Whitefield search; listed locality Whitefield,35.56,16500.0,lower-bound
