geo_key,locator_type,n_listings,sites,building_name,locality,address,geocode_query_hint,geocode_from_site,geocode_from_listing_id,done
B|godrej royale woods|devanahalli,building,8,99acres,Godrej Royale Woods,Devanahalli,,"Godrej Royale Woods, Devanahalli, Bengaluru",99acres,A90795844,
B|btm|btm 2nd stage,building,5,99acres,btm,BTM 2nd Stage,,"btm, BTM 2nd Stage, Bengaluru",99acres,J82162400,
B|sowparnika ashiyana|whitefield,building,4,99acres,Sowparnika Ashiyana,Whitefield,,"Sowparnika Ashiyana, Whitefield, Bengaluru",99acres,O91810210,
B|colive franny|koramangala,building,4,99acres,Colive Franny,Koramangala,,"Colive Franny, Koramangala, Bengaluru",99acres,I49070117,
B|sowparnika unnathi|attibele,building,3,99acres,Sowparnika Unnathi,Attibele,,"Sowparnika Unnathi, Attibele, Bengaluru",99acres,P91825480,
B|sowparnika indraprastha|soukya road,building,3,99acres,Sowparnika Indraprastha,Soukya Road,,"Sowparnika Indraprastha, Soukya Road, Bengaluru",99acres,X90385772,
B|mantri classic|st bed,building,3,99acres,Mantri Classic,ST Bed,,"Mantri Classic, ST Bed, Bengaluru",99acres,Q91989438,
B|lalitha homes|marathahalli,building,3,99acres,Lalitha Homes,Marathahalli,,"Lalitha Homes, Marathahalli, Bengaluru",99acres,G90569956,
B|vasantha homes|btm layout,building,3,99acres,Vasantha Homes,BTM Layout,,"Vasantha Homes, BTM Layout, Bengaluru",99acres,N90628226,
B|vasantha suites|btm layout,building,3,99acres,Vasantha Suites,BTM Layout,,"Vasantha Suites, BTM Layout, Bengaluru",99acres,U90718274,
B|colive jordan|sarjapur road,building,3,99acres,Colive Jordan,Sarjapur Road,,"Colive Jordan, Sarjapur Road, Bengaluru",99acres,K41362773,
B|colive memphis|bommanahalli,building,3,99acres,Colive Memphis,Bommanahalli,,"Colive Memphis, Bommanahalli, Bengaluru",99acres,P46606361,
B|sowparnika columns|soukya road,building,2,99acres,Sowparnika Columns,Soukya Road,,"Sowparnika Columns, Soukya Road, Bengaluru",99acres,L90133492,
B|as agency|btm 1st stage,building,2,99acres,as agency,BTM 1st Stage,,"as agency, BTM 1st Stage, Bengaluru",99acres,N91934492,
B|prestige shantiniketan|whitefield,building,2,99acres,Prestige Shantiniketan,Whitefield,,"Prestige Shantiniketan, Whitefield, Bengaluru",99acres,T91963948,
B|brigade gateway|rajajinagar,building,2,99acres,Brigade Gateway,Rajajinagar,,"Brigade Gateway, Rajajinagar, Bengaluru",99acres,X91901100,
B|ekta living|bellandur,building,2,99acres,Ekta Living,Bellandur,,"Ekta Living, Bellandur, Bengaluru",99acres,Q90287770,
B|vasantha homes|madiwala,building,2,99acres+nobroker,Vasantha Homes,Madiwala,"behind Castle Restaurant, 1st Cross Road, Zuzuvadi, Madiwala, 1st Stage, BTM Layout, Madiwala, bangalore","Vasantha Homes, Madiwala, Bengaluru",nobroker,8a9f8e8498e0e6b20198e12697041992,
B|vista inn studio|aecs layout c block,building,2,99acres,VISTA INN STUDIO,AECS Layout - C Block,,"VISTA INN STUDIO, AECS Layout - C Block, Bengaluru",99acres,X88229042,
B|colive adelaide|btm 2nd stage,building,2,99acres,Colive Adelaide,BTM 2nd Stage,,"Colive Adelaide, BTM 2nd Stage, Bengaluru",99acres,T41470747,
B|patel smondoville|electronic city,building,2,99acres,Patel Smondoville,Electronic City,,"Patel Smondoville, Electronic City, Bengaluru",99acres,H91554128,
B|prestige finsbury park|bagalur,building,2,99acres,Prestige Finsbury Park,Bagalur,,"Prestige Finsbury Park, Bagalur, Bengaluru",99acres,P91322920,
B|rs housing electronic city banglore|neeladri nagar,building,1,99acres,"RS Housing, Electronic City, Banglore",Neeladri Nagar,,"RS Housing, Electronic City, Banglore, Neeladri Nagar, Bengaluru",99acres,P90503832,
B|on reqwest kadugodi|kadugodi,building,1,99acres,on reqwest kadugodi,Kadugodi,,"on reqwest kadugodi, Kadugodi, Bengaluru",99acres,Y91659522,
B|khb apartment|yelahanka,building,1,99acres,Khb Apartment,Yelahanka,,"Khb Apartment, Yelahanka, Bengaluru",99acres,O91972682,
B|sri vinayaka residential layout|varthur,building,1,99acres,sri vinayaka residential layout,Varthur,,"sri vinayaka residential layout, Varthur, Bengaluru",99acres,J91915576,
B|tambre residence|bheemanna garden,building,1,99acres,Tambre residence,Bheemanna Garden,,"Tambre residence, Bheemanna Garden, Bengaluru",99acres,P91966246,
B|gayathri bliss|neeladri nagar,building,1,99acres,Gayathri Bliss,Neeladri Nagar,,"Gayathri Bliss, Neeladri Nagar, Bengaluru",99acres,G82251964,
B|mahendra m5 e city mall|veersandra,building,1,99acres,Mahendra M5 E City Mall,Veersandra,,"Mahendra M5 E City Mall, Veersandra, Bengaluru",99acres,K83009392,
B|saiven siesta|volagerekallahalli,building,1,99acres,Saiven Siesta,Volagerekallahalli,,"Saiven Siesta, Volagerekallahalli, Bengaluru",99acres,T91686342,
B|slv bhavish terrain apartments|a narayanapura,building,1,99acres,SLV BHAVISH TERRAIN APARTMENTS,A Narayanapura,,"SLV BHAVISH TERRAIN APARTMENTS, A Narayanapura, Bengaluru",99acres,B91657802,
B|gods gift layout|seegehalli,building,1,99acres,Gods Gift Layout,Seegehalli,,"Gods Gift Layout, Seegehalli, Bengaluru",99acres,F83006352,
B|saraswati nilayam whitefield|brooke bond first cross,building,1,99acres,"SARASWATI NILAYAM, WHITEFIELD",Brooke Bond First Cross,,"SARASWATI NILAYAM, WHITEFIELD, Brooke Bond First Cross, Bengaluru",99acres,X91667794,
B|aaspire heights|marathahalli,building,1,99acres,Aaspire Heights,Marathahalli,,"Aaspire Heights, Marathahalli, Bengaluru",99acres,F91974496,
B|prestige park view|whitefield,building,1,99acres,Prestige Park View,Whitefield,,"Prestige Park View, Whitefield, Bengaluru",99acres,O91973968,
B|brigade gardenia|7th phase jp nagar,building,1,99acres,Brigade Gardenia,7th Phase JP Nagar,,"Brigade Gardenia, 7th Phase JP Nagar, Bengaluru",99acres,G91972154,
B|ajmera infinity|karuna nagar,building,1,99acres,Ajmera Infinity,Karuna Nagar,,"Ajmera Infinity, Karuna Nagar, Bengaluru",99acres,A91971204,
B|skanda sky|kaverappa layout,building,1,99acres,Skanda Sky,Kaverappa Layout,,"Skanda Sky, Kaverappa Layout, Bengaluru",99acres,Y91955804,
B|skanda sukriti|bellandur,building,1,99acres,Skanda Sukriti,Bellandur,,"Skanda Sukriti, Bellandur, Bengaluru",99acres,R91958072,
B|brigade gateway|brigade road,building,1,99acres,Brigade Gateway,Brigade Road,,"Brigade Gateway, Brigade Road, Bengaluru",99acres,X91955282,
B|adarsh gardens|8th block jayanagar,building,1,99acres,Adarsh Gardens,8th Block Jayanagar,,"Adarsh Gardens, 8th Block Jayanagar, Bengaluru",99acres,S91937176,
B|vr pearl|hoskote,building,1,99acres,VR Pearl,Hoskote,,"VR Pearl, Hoskote, Bengaluru",99acres,L91931806,
B|godrej air nxt|a s raju nagar,building,1,99acres,godrej air nxt,A.S. Raju Nagar,,"godrej air nxt, A.S. Raju Nagar, Bengaluru",99acres,K91920752,
B|shriram greenfield|bommenahalli,building,1,99acres,Shriram Greenfield,Bommenahalli,,"Shriram Greenfield, Bommenahalli, Bengaluru",99acres,C91907578,
B|krishnaproperties|hal 2nd stage,building,1,99acres,krishnaproperties,HAL 2nd Stage,,"krishnaproperties, HAL 2nd Stage, Bengaluru",99acres,A81062691,
B|trinityonestay|shanti nagar,building,1,99acres,TrinityOneStay,Shanti Nagar,,"TrinityOneStay, Shanti Nagar, Bengaluru",99acres,W89437088,
B|qaiser residencey|electronics city phase 1,building,1,99acres,qaiser residencey,Electronics City Phase 1,,"qaiser residencey, Electronics City Phase 1, Bengaluru",99acres,Q58444016,
B|pavilion|sai sree layout,building,1,99acres,Pavilion,Sai Sree Layout,,"Pavilion, Sai Sree Layout, Bengaluru",99acres,X91867750,
B|provident capella|samethanahalli,building,1,99acres,Provident Capella,Samethanahalli,,"Provident Capella, Samethanahalli, Bengaluru",99acres,G91864416,
B|cloud inn apartments|whitefield,building,1,99acres,Cloud Inn Apartments,Whitefield,,"Cloud Inn Apartments, Whitefield, Bengaluru",99acres,S90298670,
B|moon heights residency|neeladri nagar,building,1,99acres,Moon Heights Residency,Neeladri Nagar,,"Moon Heights Residency, Neeladri Nagar, Bengaluru",99acres,D91558840,
B|vasanatha homes|btm layout,building,1,99acres,Vasanatha Homes,BTM Layout,,"Vasanatha Homes, BTM Layout, Bengaluru",99acres,J90569388,
B|vkm s sai tranquil|neeladri nagar,building,1,99acres,VKM's Sai Tranquil,Neeladri Nagar,,"VKM's Sai Tranquil, Neeladri Nagar, Bengaluru",99acres,Y89381411,
B|msrhomes|doddakannalli,building,1,99acres,MSRHOMES,Doddakannalli,,"MSRHOMES, Doddakannalli, Bengaluru",99acres,B90531446,
B|ekta living 1rk|bellandur,building,1,99acres,Ekta Living 1rk,Bellandur,,"Ekta Living 1rk, Bellandur, Bengaluru",99acres,U90568898,
B|bee hive apartment|seetharampalya,building,1,99acres,Bee Hive Apartment,Seetharampalya,,"Bee Hive Apartment, Seetharampalya, Bengaluru",99acres,P88541872,
B|ssrs|ashwini layout,building,1,99acres,ssrs,Ashwini layout,,"ssrs, Ashwini layout, Bengaluru",99acres,J91886778,
B|star city layout neeladri nagar|neeladri nagar,building,1,99acres,"star city layout, neeladri nagar",Neeladri Nagar,,"star city layout, neeladri nagar, Neeladri Nagar, Bengaluru",99acres,O91250074,
B|sv residencny dna anantha layout|nallurhalli,building,1,99acres,"SV Residencny, DNA Anantha Layout",Nallurhalli,,"SV Residencny, DNA Anantha Layout, Nallurhalli, Bengaluru",99acres,K78197539,
B|sri sai sapphire whitefield|whitefield,building,1,99acres,Sri Sai Sapphire Whitefield,Whitefield,,"Sri Sai Sapphire Whitefield, Whitefield, Bengaluru",99acres,N91641824,
B|rr comforts|electronics city phase 1,building,1,99acres,RR Comforts,Electronics City Phase 1,,"RR Comforts, Electronics City Phase 1, Bengaluru",99acres,W91507174,
B|kbm layout varthur|balagere,building,1,99acres,"KBM LAYOUT, VARTHUR",Balagere,,"KBM LAYOUT, VARTHUR, Balagere, Bengaluru",99acres,J91795340,
